ComID,Committee,cat1,cat2,totspend,gave to pacs,received from pacs
41092,Progressive Kick IE,pac,prodfl,46119.07,FALSE,TRUE
30151,Retired Peoples Political Action Fund,pac,labor,46000,FALSE,FALSE
30634,Greater Minnesota Votes,pac,,45921.19,TRUE,FALSE
40889,Leech Lake PAC,pac,indian,45621.78,FALSE,TRUE
80020,Sierra Club Political Committee,pac,issue,44924.72,FALSE,TRUE
30637,Somali Action Alliance Political Fund,pac,issue,44374.96,TRUE,FALSE
30327,Lower Sioux Political Education Fund,pac,indian,43374,FALSE,FALSE
40562,Minn Physical Therapy PAC,pac,biz,43300,FALSE,FALSE
40970,Grand Portage PAC,pac,indian,42650,FALSE,FALSE
30074,Amalgamated Transit Union Local 1005,pac,labor,41933.12,FALSE,TRUE
30195,MN Retailers IMPACT (fka Mn Retail Pol Advocacy Fd),pac,biz,41075,TRUE,TRUE
70041,HRC Minnesota PAC,pac,issue,41034.42,TRUE,TRUE
70051,Minnesotans for Racino PAC,pac,biz,38625,FALSE,FALSE
30591,Minn Seasonal Recreational Property Owners PAC,pac,biz,37806.79,FALSE,TRUE
80001,Minn Eye PAC,pac,biz,36920,FALSE,FALSE
30137,BAM-PAC,pac,biz,36880,FALSE,FALSE
80005,VET-PAC of Minn,pac,issue,34400,FALSE,TRUE
70033,OutFront Minnesota Action,pac,issue,34354.12,TRUE,TRUE
30120,SOF-PAC,pac,,34250,FALSE,TRUE
30096,Duluth FirePAC,pac,labor,33677.5,TRUE,FALSE
30154,St Paul Firefighters Local 21 Political Action Committee,pac,labor,32400,FALSE,TRUE
40543,Minn Farmers Union PAC,pac,biz,31925,FALSE,FALSE
41045,Committee to Stop Wasteful Spending,pac,,31883.79,TRUE,TRUE
40056,IFAPAC Minn,pac,,31750,FALSE,FALSE
30115,Minn State MNPL,pac,,31500,FALSE,TRUE
30657,Americans for Tax Reform Political Fund,pac,issue,30915,FALSE,FALSE
40246,PAL 9 Natl Assoc of Letter Carriers,pac,labor,30745,FALSE,TRUE
30002,Minn State Patrol Troopers Assoc,pac,labor,29900,FALSE,FALSE
40837,Local Action Political Action Committee,pac,labor,29591.26,TRUE,FALSE
80018,Clean Water Action Voter Education Project,pac,biz,29313.71,FALSE,TRUE
30345,Winthrop & Weinstine PA Political Fund,pac,biz,29210.63,FALSE,TRUE
30617,Building Trades C1 PAC Fund,pac,labor,29050,TRUE,TRUE
40254,Minneapolis Fire Department Pensioners PCF,pac,labor,28950,FALSE,TRUE
30103,Elementary Principals Action Committee,pac,,28125,FALSE,FALSE
80027,Project 515 PAC,pac,issue,27850,TRUE,FALSE
30083,U A Plumbers Local #34 Political Fund,pac,labor,27500,FALSE,TRUE
30577,Plumbers & Steamfitters Local 11 PAC Fund,pac,labor,27288.08,FALSE,TRUE
30647,CMVC Fund (Conservation MN Voter Center),pac,issue,27177.69,TRUE,FALSE
41083,Count Them All Properly,pac,prorpm,27000,FALSE,FALSE
30191,VOTE - 66,pac,labor,26800,TRUE,TRUE
70016,MN Corn State PAC (fka MN Corn),pac,biz,26720,FALSE,TRUE
40741,NFIB/MN Save Americas Free Enterprise Trust,pac,biz,26262.73,FALSE,FALSE
40954,America Votes - Minnesota,pac,prodfl,26000,TRUE,TRUE
40872,Rural Minn Preservation,pac,issue,25866.47,TRUE,FALSE
30622,TCO Political Action Committee,pac,,25000,FALSE,FALSE
70014,Insurance Federation Political Action Comm,pac,biz,24175,TRUE,TRUE
40201,Minn AGPAC,pac,biz,23899.7,FALSE,TRUE
40894,Ottertail Power PAC,pac,biz,22925,FALSE,TRUE
40820,Local 851 Political Action Committee,pac,labor,22864.6,FALSE,TRUE
30268,People in Construction Political Action Comm,pac,biz,21900,FALSE,FALSE
30581,CHG PAC,pac,biz,21100,FALSE,FALSE
40782,Carpenters Local 1644 PAC,pac,labor,21095.56,TRUE,TRUE
30618,Working Families Fund,pac,,20893.51,TRUE,TRUE
40105,Lindquist & Vennum Political Fund,pac,lawyers,20820,FALSE,TRUE
80002,MSA-PAC,pac,issue,20750,FALSE,FALSE
41077,Michele PAC Minnesota,pac,prorpm,20500,FALSE,FALSE
40935,Friends of Minn Nurse Anesthetists,pac,,20450,FALSE,FALSE
40542,Brotherhood of Locomotive Engineers & Trainmen,pac,labor,19850,FALSE,FALSE
40950,Midwest Values PAC - MN,pac,prodfl,19675,FALSE,FALSE
30633,OutFront MN Action Independent Expenditure Fund,pac,issue,19551.13,TRUE,FALSE
30312,Council 65 Political Action Committee,pac,labor,19430,FALSE,FALSE
30624,Larkin Hoffman Political Fund,pac,lawyers,19250,FALSE,FALSE
41088,A Stronger Minnesota,pac,prorpm,18827.55,FALSE,FALSE
80022,MPS PAC,pac,,18650,FALSE,FALSE
30033,Plumbers Local Union #15 COPE Account,pac,labor,18517,FALSE,TRUE
30234,Sprinkler Fitters Local Union No 417,pac,labor,18369,FALSE,TRUE
40016,PharmPAC,pac,biz,18300,FALSE,FALSE
30552,NARAL Pro-Choice Minn Election Fund,pac,issue,18178.59,TRUE,TRUE
30571,Plumbers & Pipefitters Local #589 Pol Action Comm,pac,labor,18088.28,FALSE,TRUE
30016,Firefighters Assoc of Mpls Political Fund,pac,labor,17550,FALSE,TRUE
40491,D&T Better Government Committee,pac,biz,17177.84,FALSE,TRUE
30619,Federal Express Minn State Fund,pac,biz,16900,FALSE,TRUE
30568,Rice Michels & Walther LLP Political Fund,pac,biz,16896.02,FALSE,TRUE
70052,SMART PAC,pac,biz,16500,FALSE,FALSE
41093,America Votes Action Fund - Minnesota,pac,prodfl,15875.62,TRUE,FALSE
30337,Health Partners Civic Affairs Council,pac,biz,14025,FALSE,TRUE
40996,Leaders Aligned for Health Care,pac,,13750,FALSE,TRUE
40994,Northeast ALC PAC,pac,labor,13215.35,TRUE,TRUE
30583,Carpenters Local #606 PAC,pac,labor,13100,FALSE,FALSE
30609,East Metro ASC LLC PAC (fka Minn Ambulatory Surgery Center Assoc),pac,biz,13000,FALSE,FALSE
30626,East Central MN Area Labor Council COPE,pac,labor,12788.6,FALSE,TRUE
30556,St Paul Area Chamber of Commerce PAC,pac,biz,12616.67,TRUE,TRUE
30640,Dominium Political Fund,pac,,12550,FALSE,TRUE
80029,Minneapolis Police Fraternal Association,pac,labor,12050,FALSE,FALSE
30642,Carpenters Local 322,pac,labor,11880,FALSE,FALSE
40981,Progressive Majority Minnesota,pac,prodfl,11689.66,TRUE,TRUE
30592,Carpenters Local Union 361 Pol Fund,pac,labor,11490,TRUE,FALSE
40725,Gray Plant Mooty Mooty & Bennett Independent PAC,pac,lawyers,11400,FALSE,TRUE
40537,Waste Management PAC of Minn,pac,biz,11250,FALSE,FALSE
40907,Motorcycle PAC of Minn,pac,issue,11200,FALSE,FALSE
40123,Minn Service Station Assoc,pac,biz,10700,FALSE,TRUE
70050,MN HomeCare PAC,pac,biz,10600,FALSE,FALSE
30088,AFL-CIO Southeast Central Labor Council,pac,labor,10460.96,TRUE,TRUE
40810,Twin Cities Republican Assn,pac,prorpm,10200,FALSE,FALSE
40915,Duluth Active & Retired Teachers Group,pac,labor,10000,FALSE,FALSE
